Continent,Country,City,Name,Firm,Amenities,Price,Rating,Review
Europe,Germany,Bavaria,City Apart Hotel Fussen,,"Free parking,Paid public parking nearby,Free High Speed Internet (WiFi),Wifi,Breakfast buffet,Non-smoking hotel,",,4.5,The apartments are different sizes.  The one we stayed in was quite small.  But the beds were comfortable and everything worked in the kitchen.  Good value  -  but I wouldn't want to stay more than two nights.
Europe,Germany,Bavaria,Landhaus Berger,ZenHotels.com,"Free parking,Free High Speed Internet (WiFi),Bar / lounge,Golf course,Hiking,Pets Allowed ( Dog / Pet Friendly ),Massage,BBQ facilities,WifiVending machineHorseback ridingMini golfSkiingWindsurfingFishingNon-smoking hotelOutdoor furnitureShared kitchen,Wifi,Vending machine,Horseback riding,Mini golf,Skiing,Windsurfing,Fishing,Non-smoking hotel,Outdoor furniture,Shared kitchen",,4.0,Whilst the room was really nice with a good view towards the lake and mountains the service and interpretation of our booking by the reception spoiled things. We pre booked a room with a meal plan described as “bed and breakfast”. Two things happened that spoilt things. 1. We arrived quite late but had emailed twice prior to our departure to let the hotel know. No response & when we arrived we were lucky to meet a family who also arrived late but had a code for a safe box outside the hotel where we could get room keys. We never got sent a code but our keys were in the box. Phew! 2. We ate breakfast as per meal plan we paid for but on check out were charged 10euros each for breakfast (additional 30euros on bill) when I pointed out the meal plan we were told it meant breakfast was
Europe,Germany,Bavaria,Landhaus Enzensberg,Booking.com,"Non-smoking hotel,",,3.5,"As a previous reviewer mentioned, there is no reception on site.  Surly cafe worker downstairs pointed to a phone on the wall and said to call the number.  After a couple of unsuccessful attempts a young man came out of the bar and helped us dial the phone, talk to the property owner, retrieve the key, we would have probably given up if not for him.  Website we booked through said there was free parking - most of the spaces had signs that said ""parking for cafe only"", we just took one of them, still not sure where the inn's parking was suppose to be ,  The actual room was quite nice, very nicely decorated and had a lovely balcony with a distant view of the castles  Location is somewhat remote, but there are several eating places a short drive away down by the lake (I wasn't"
Europe,Germany,Bavaria,Aparthotel Residenz Hopfensee,,"Free parking,Free High Speed Internet (WiFi),Restaurant,Bicycle rental,Canoeing,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Non-smoking hotel,InternetHikingHorseback ridingMini golfSkiingTennis courtWindsurfingFishingTable tennis,Internet,Hiking,Horseback riding,Mini golf,Skiing,Tennis court,Windsurfing,Fishing,Table tennis",,4.5,"Stayed here a couple of times and both apartments excellent. Well equipped, spacious,  very clean and great location.  Lovely reception staff .   One minor improvement would be an English translation of the house rules for the occasional non German speaker. Just a suggestion. Perfect place to stay in beautiful Hopfen am See."
Europe,Germany,Baden-Wurttemberg,Ferienwohnungen Erath,,,,5.0,"Grundsolide Ferienwohnungen für die Familie mit schöner Aussicht, sehr freundlichen Vermietern und vielen Freizeitmöglichkeiten in der Nähe. Gute Lokalitäten in jeweils 1 km Entfernung. Wir kommen schon seit Jahrzehnten :-)."
Europe,Germany,Baden-Wurttemberg,Hornihausle,,,,,
Europe,Spain,Balearic Islands,Charly's,,"Free internet,",,3.0,"I implement a youth project, so booked the apartments. They were normal, cheap, but... Not a good option if you are not a family. Also, the noisy club is under the apartments, which make you suffer if you want to really rest."
Europe,Spain,Balearic Islands,Hostal Cas Bombu,,"Free High Speed Internet (WiFi),Wifi,Pool,Free breakfast,Babysitting,Children Activities (Kid / Family Friendly),Concierge,Non-smoking hotel,Outdoor poolBar / lounge,Outdoor pool,Bar / lounge",,4.0,"Stayed here end of June . Arrived very early in the morning and was shown to a large room on the very top of the building . The following morning asked the helpful receptionist / owner if we could change the room and was reallocated a lovey room on the first floor overlooking the pool. The hotel is very reasonably priced , clean throughout , has large breakfast room with usual continental breakfast served daily . There is a pool with limited loungers for a dip after a hot days sightseeing . The hotel is situated just yards from the seafront and a great range of bars and restaurants - lots to choose from . Yes - as others have stated Cala Ratjada is aimed mainly at German clientele but that for me only made the resort better . It was World Cup time , and although during the"
Europe,Spain,Basque Country,Pension San Lorenzo,Agoda.com,"Baggage storage,Non-smoking hotel,24-hour front desk,",,3.0,"Location was great and staff very friendly and helpful. But the room and facilities were of a very poor quality. The double bed was more like a king single and designed for short people only. This is due to the size of the room being so small that a proper sized double bed would not fit. The room was noisy all night, there was a washing machine running for most of the night and you could hear noises coming from all directions during the night.  We loved San Sebastián and would go back again but would choose different accommodation."
Europe,Spain,Balearic Islands,Aparthotel Nereida Apartments,,,,,
Europe,Spain,Balearic Islands,Lago Garden Hotel,,"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Golf course,Children Activities (Kid / Family Friendly),Airport transportation,Public wifiHot bathIndoor poolOutdoor poolSaunaBar / loungeRestaurantBreakfast buffetSwimup barPoolside barSpaConciergeNon-smoking hotelDry cleaningLaundry service,Public wifi,Hot bath,Indoor pool,Outdoor pool,Sauna,Bar / lounge,Restaurant,Breakfast buffet,Swimup bar,Poolside bar,Spa,Concierge,Non-smoking hotel,Dry cleaning,Laundry service",,4.5,"We were apprehensive about our stay because the tour operator told us the room we had booked was 'very, very basic' (Super Escapes - never use this company, they're awful). But we were pleasantly surprised to find our room was large and airy, with a huge bathroom complete with spa bath.   The staff at the Lago Garden are all wonderfully kind and helpful. The Night Manager (a Senegalese chap - I'm afraid I didn't get his name) greeted us like old friends.All waiting staff were friendly and efficient and seemed happy to be there.   I see that a few of the reviews mention that the hotel is geared towards Germans: this is true, many of the signs are in German and the staff are all multilingual. We also met people from Sweden, Norway, Romania and the Netherlands but not many of our"
Europe,Spain,Balearic Islands,Vista Sol,,"Wifi,Pool,Outdoor pool,Bar / lounge,Restaurant,Children Activities (Kid / Family Friendly),",,3.0,If you're in Magaluf for a drinking holiday this is the place for you we stayed during the Swedish spring break 28th May 4th June.   Hotel is more than reasonable for the price and the hotel is full of young people I would not recommend for families or people looking for a “relaxing” break.   The noise in the hotel is 24hr it never stops people on their balcony’s all hours as well as around the pool getting wrecked no matter where you go there is music being played by other guests.   Went self-catering so I can’t comment on food or drink.   Only downsides security are nasty people if you get on the wrong side of them from what I’ve seen and the hotel DOES NOT HAVE AIR CON! Meaning the rooms don’t cool down at all it was actually cooler on the balcony than the room. 
Europe,Spain,Balearic Islands,Louty Golea Hotel,ZenHotels.com,"Free High Speed Internet (WiFi),Wifi,Free breakfast,Non-smoking hotel,",,3.0,"I have just returned from a holiday at Ilusion Moreya in Cala Bona with my husband, which was most disappointing.I booked a room at a small hotel in Cala RATJATA through your company ALPHAROOMS recently( 8 of August 2018 ). On arrival, the landlady told me there was no room, hotel is fully booked  and very rudely walked away.We were very suprised and we didnt know what to do.It was 2 am in the morning .After 10 minuts receptionist came back and she said that we need to be moved to diffrent hotel in another town for one night(Cala Bona ).Next day we supposted to be moved to Hotel Golea Louty.We were waiting 1,5 hours  to someone form the hotel gives to lift ( recetionist promised that her husband collect us ).That never happened.We needed to organize transport to hotel by"
